"OBJECTID","CNN","STREETNAME","FROM_ST","TO_ST","FACILITY_T","DIRECT","SURFACE_TR","BARRIER","NOTES","DIR","DOUBLE","FY","QTR","STREET_","LENGTH","NUMBER_","INSTALL_MO","UPDATE_YR","UPDATE_MO","INSTALL_YR","GLOBALID","SYMBOLOGY","SHARROW","BUFFERED","RAISED","CONTRAFLOW","GREENWAVE","BIAP","SM_SWEEPER","shape","RECOMMENDATION"
"946","12557201","THE EMBARCADERO","LOMBARD ST","CHESTNUT ST","CLASS IV","2W","GREEN PAINT","SAFE-HIT POSTS",,"N","0","0","0","The Embarcadero","0.11088425","5","0","2,024","3","2002",,"SEPARATED BIKEWAY","0","NO","NO","NO","NO","NO","NO","LINESTRING (-122.401976125 37.804071966, -122.403433187 37.805189278)","3"
"514","10171000","PAGE ST","OCTAVIA ST","LAGUNA ST","CLASS IV","2W",,"SAFE-HIT POSTS",,"E","1","2,016","3","Page St","0.09719902","45",,"2,020","2","2006",,"SEPARATED BIKEWAY","0","YES","NO","NO","NO","NO","NO","LINESTRING (-122.423947062 37.773889238, -122.42570021 37.77366623)","3"
"76","10548000","POLK ST","LECH WALESA ST","GROVE ST","CLASS IV","1W","GREEN PAINT","CONCRETE",,"N","0","2,014","4","Polk St","0.03607967","2",,"2,014",,"2002",,"SEPARATED BIKEWAY","0","NO","NO","YES","NO","NO","YES","LINESTRING (-122.418138569 37.777970664, -122.418226582 37.778489117)","3"
"101","10547000","POLK ST","HAYES ST","LECH WALESA ST","CLASS IV","1W","GREEN PAINT","CONCRETE",,"N","0","2,014","4","Polk St","0.03208089","25",,"2,014",,"2000",,"SEPARATED BIKEWAY","0","NO","NO","YES","NO","NO","YES","LINESTRING (-122.418043167 37.777511711, -122.418138569 37.777970664)","3"
"843","133000","2ND ST","MINNA ST","NATOMA ST","CLASS IV","2W","GREEN PAINT","SAFE-HIT POSTS",,"S","0","0","0","2nd St","0.03634315","25",,"2,019","4","0",,"SEPARATED BIKEWAY","0","NO","YES","NO","NO","NO","NO","LINESTRING (-122.399255049 37.787579278, -122.3987896 37.787203463)","3"
"2494","13060000","VALENCIA ST","16TH ST","17TH ST","CLASS IV","2W","GREEN PAINT","PARKING; SAFE-HIT POSTS","CR implemented 8/2023; SR implemented 5/2025","S","1","0","0","Valencia St","0.11188467","45",,"2,025","5","1974",,"SEPARATED BIKEWAY","0","NO","NO","NO","YES","NO","N/A","LINESTRING (-122.421886446 37.764917378, -122.421731521 37.763299768)","3"
"3698","780000","17TH ST","RHODE ISLAND ST","DE HARO ST","CLASS IV","2W","GREEN PAINT","PARKING; SAFE-HIT POSTS",,"W","1","2,017","3","17th St","0.05295381","0","3","2,024","6","2017",,"SEPARATED BIKEWAY","0","NO","NO","NO","NO","NO","NO","LINESTRING (-122.401598999 37.764839237, -122.402563397 37.764781034)","3"
"11206","2756000","BATTERY ST","SACRAMENTO ST","COMMERCIAL ST","CLASS IV","1W",,"SAFE-HIT POSTS",,"N","0","0","0","Battery St","0.03081662","11",,"2,023","1","2010",,"SEPARATED BIKEWAY","0","NO","NO","YES","NO","NO","NO","LINESTRING (-122.400148778 37.794134235, -122.400239374 37.794575242)","3"
"2473","416000","8TH ST","BRYANT ST","BRANNAN ST","CLASS IV","1W","GREEN PAINT","PARKING; SAFE-HIT POSTS",,"S","0","0","0","8th St","0.11973259","23",,"2,018","5","1999",,"SEPARATED BIKEWAY","0","NO","NO","NO","NO","NO","YES","LINESTRING (-122.40696829 37.77252627, -122.405424735 37.771296353)","3"
"795","5330201","EVANS AVE","JENNINGS ST","KEITH ST","CLASS IV","2W",,"SAFE-HIT POSTS",,"W","0","0","0","Evans Ave","0.12824768","23",,"2,021","5","2002",,"SEPARATED BIKEWAY","0","NO","NO","NO","NO","NO","NO","LINESTRING (-122.379109648 37.737680294, -122.379169306 37.737765588, -122.380110065 37.738307877, -122.380258739 37.738434664, -122.380365528 37.738531155, -122.380796799 37.738775517, -122.380942553 37.738763577)","3"
"102","10562000","POLK ST","CEDAR ST","POST ST","CLASS IV","2W","GREEN PAINT","SAFE-HIT POSTS",,"S","1","0","0","Polk St","0.03273109","705",,"2,019","5","1999",,"SEPARATED BIKEWAY","0","NO","NO","NO","NO","NO","YES","LINESTRING (-122.419833091 37.786358951, -122.419927948 37.786827527)","3"
"11205","2755000","BATTERY ST","HALLECK ST","SACRAMENTO ST","CLASS IV","1W",,"SAFE-HIT POSTS",,"N","0","0","0","Battery St","0.03079143","11",,"2,023","1","2010",,"SEPARATED BIKEWAY","0","NO","NO","YES","NO","NO","NO","LINESTRING (-122.40005826 37.793693588, -122.400148778 37.794134235)","3"
"8013","7034000","HOWARD ST","2ND ST","MALDEN ALLEY","CLASS IV","1W","GREEN PAINT","PARKING; SAFE-HIT POSTS",,"W",,,,"Howard St","0.02507722",,,"2,020","12","2005",,"SEPARATED BIKEWAY","0","NO","NO","NO","NO","NO","NO","LINESTRING (-122.397932391 37.78703558, -122.398256963 37.78677895)","3"
"1302","182000","3RD ST","BERRY ST","CHANNEL ST","CLASS IV","2W",,"SAFE-HIT POSTS","Split a CNN for accuracy","S","1","0","0","3rd St","0.07627142","5",,"2,020","7","2010",,"SEPARATED BIKEWAY","1","NO","NO","YES","NO","NO","NO","LINESTRING (-122.390639284 37.777173064, -122.39042828 37.777008006, -122.390425035 37.77700313, -122.390214567 37.776723442)",
"3705","304000","5TH ST","BRYANT ST","WELSH ST","CLASS IV","2W",,"PARKING; SAFE-HIT POSTS",,"S","1","0","0","5th St","0.04154019","61",,"2,020","3","2009",,"SEPARATED BIKEWAY","0","NO","NO","NO","NO","NO","YES","LINESTRING (-122.40029776 37.777799011, -122.399762585 37.777371995)","3"
"2579","8760101","MARKET ST","OCTAVIA ST","PEARL ST","CLASS IV","2W","GREEN PAINT","SAFE-HIT POSTS",,"E","0","0","0","Market St","0.02905989","50",,"2,014",,"2003",,"SEPARATED BIKEWAY","1","NO","NO","NO","NO","NO","YES","LINESTRING (-122.423619523 37.771716962, -122.423971654 37.771401668)","3"
"2444","12720000","TURK ST","DODGE PL","HYDE ST","CLASS IV","1W","GREEN PAINT","SAFE-HIT POSTS",,"W","0",,,"Turk St","0.07147104",,"4",,,"2018",,"SEPARATED BIKEWAY","0","NO","NO","NO","NO","NO","YES","LINESTRING (-122.415693872 37.782585033, -122.416982995 37.782420417)","3"
"2482","5671000","FOLSOM ST","SHERMAN ST","MOSS ST","CLASS IV","1W","GREEN PAINT","PARKING; SAFE-HIT POSTS",,"E","0","2,014","0","Folsom St","0.02154211","30",,"2,018","1","2005",,"SEPARATED BIKEWAY","0","NO","NO","NO","NO","NO","YES","LINESTRING (-122.407014751 37.777399633, -122.407293681 37.777179298)","3"
"3134","368000","7TH ST","MISSION ST","MINNA ST","CLASS IV","1W","GREEN PAINT","SAFE-HIT POSTS",,"N","0","2,017","4","7th St","0.0415018","23",,"2,025","5","2003",,"SEPARATED BIKEWAY","1","NO","NO","NO","NO","NO","YES","LINESTRING (-122.410936574 37.779211685, -122.410401493 37.778785372)","3"
