"OBJECTID","CNN","STREETNAME","FROM_ST","TO_ST","FACILITY_T","DIRECT","SURFACE_TR","BARRIER","NOTES","DIR","DOUBLE","FY","QTR","STREET_","LENGTH","NUMBER_","INSTALL_MO","UPDATE_YR","UPDATE_MO","INSTALL_YR","GLOBALID","SYMBOLOGY","SHARROW","BUFFERED","RAISED","CONTRAFLOW","GREENWAVE","BIAP","SM_SWEEPER","shape","RECOMMENDATION"
"4617","548101","13TH ST","HARRISON ST","11TH ST","CLASS IV","2W","GREEN PAINT","PARKING",,"E",,"2,017","4","13th St","0.13452617","0","5",,,"2017",,"SEPARATED BIKEWAY","0","NO","NO","NO","NO","NO","YES","LINESTRING (-122.410931089 37.769411191, -122.411119023 37.769411274, -122.413206967 37.769488537, -122.413385238 37.769502005)","3"
"4239","7054000","HOWARD ST","DORE ST","GRACE ST","CLASS IV","1W","GREEN PAINT","PARKING; SAFE-HIT POSTS",,"W","0","0","0","Howard St","0.01350748","30",,"2,018","12","2000",,"SEPARATED BIKEWAY","0","NO","NO","NO","NO","NO","N/A","LINESTRING (-122.413768848 37.774516257, -122.413943763 37.774378121)","3"
"1918","5339000","EVANS AVE","SELBY ST","NAPOLEON ST","CLASS IV","2W",,"PARKING; SAFE-HIT POSTS",,"W","1","0","0","Evans Ave","0.13140238","68",,"2,022","10","2006",,"SEPARATED BIKEWAY","0","NO","NO","NO","NO","NO","NO","LINESTRING (-122.39404894 37.74616295, -122.396008614 37.747262349)","3"
"4779","2801103","BAYSHORE BLVD","MARENGO ST","INDUSTRIAL ST","CLASS IV","2W",,"SAFE-HIT POSTS",,"S","0","0","0","Bayshore Blvd","0.03485564","25",,"2,023","9","2012",,"SEPARATED BIKEWAY","0","YES","NO","NO","NO","NO","NO","LINESTRING (-122.406990758 37.738467226, -122.406910504 37.737965867)","3"
"2375","7530202","JOHN F KENNEDY DR","UNNAMED #133","KEZAR DR","CLASS IV","2W",,"SAFE-HIT POSTS",,"W","1","0","0","John F Kennedy Dr","0.02189261","330",,"2,021","1","2006",,"SEPARATED BIKEWAY","0","NO","NO","NO","NO","NO","YES","LINESTRING (-122.454932132 37.771071719, -122.455289746 37.770929661)","3"
"12167","8042000","LAKE MERCED BLVD","SKYLINE BLVD","BERKSHIRE WY","CLASS IV","2W",,"CONCRETE; SAFE-HIT POSTS",,"E","1","0","0","Lake Merced Blvd","0.06168489","885","3",,,"2024",,"SEPARATED BIKEWAY","0","NO","NO","NO","NO","NO","NO","LINESTRING (-122.499058976 37.731576071, -122.498229795 37.731376239, -122.498001637 37.731277833)","3"
"1614","4219000","CLIPPER ST","HIGH ST","CLIPPER ST","CLASS IV","2W",,"SAFE-HIT POSTS",,"E","1","0","0","Clipper St","0.06717777","60",,"2,020","2","2009",,"SEPARATED BIKEWAY","0","NO","NO","NO","NO","NO","NO","LINESTRING (-122.443161821 37.747504352, -122.443960753 37.746765217)","3"
"2917","7167000","ILLINOIS ST","18TH ST","19TH ST","CLASS IV","2W",,"SAFE-HIT POSTS",,"N","0","0","0","Illinois St","0.08851557","5","6","2,021","1","2011",,"SEPARATED BIKEWAY","0","NO","NO","NO","NO","NO","NO","LINESTRING (-122.387794796 37.763107217, -122.387690005 37.761826479)","3"
"68","10550000","POLK ST","MC ALLISTER ST","REDWOOD ST","CLASS IV","2W","GREEN PAINT","SAFE-HIT POSTS",,"N","0","0","0","Polk St","0.03589473","25",,"2,019","5","2003",,"SEPARATED BIKEWAY","0","NO","NO","NO","NO","NO","YES","LINESTRING (-122.418598509 37.780260133, -122.418708904 37.780773161)","3"
"821","381000","7TH ST","HOOPER ST","IRWIN ST","CLASS IV","2W",,"SAFE-HIT POSTS",,"N","0","0","0","7th St","0.05871669","23",,"2,019","7","2001",,"SEPARATED BIKEWAY","0","NO","NO","NO","NO","NO","YES","LINESTRING (-122.398179218 37.769041378, -122.397422411 37.768438135)","3"
"2122","789000","17TH ST","FLORIDA ST","ALABAMA ST","CLASS IV","2W",,"SAFE-HIT POSTS",,"W","0","0","0","17th St","0.05288974","40",,"2,018","5","2012",,"SEPARATED BIKEWAY","0","NO","NO","NO","NO","NO","YES","LINESTRING (-122.41133018 37.764251587, -122.412293396 37.764193376)","3"
"3485","6749000","HARRISON ST","18TH ST","19TH ST","CLASS IV","2W",,"SAFE-HIT POSTS",,"N","0","0","0","Harrison St","0.06706188","33",,"2,025","5","1986",,"SEPARATED BIKEWAY","0","YES","NO","NO","NO","NO","NO","LINESTRING (-122.412779774 37.761598494, -122.412681386 37.760629268)","0"
"5084","777000","17TH ST","WISCONSIN ST","ARKANSAS ST","CLASS IV","2W","GREEN PAINT","PARKING; SAFE-HIT POSTS",,"W","1","2,017","3","17th St","0.05265283","0","3","2,024","6","2017",,"SEPARATED BIKEWAY","0","NO","NO","NO","NO","NO","NO","LINESTRING (-122.398703366 37.765013942, -122.399662287 37.764956094)","3"
"830","378000","7TH ST","KING ST","BERRY ST","CLASS IV","2W",,"SAFE-HIT POSTS",,"S","1","0","0","7th St","0.06061815","2",,"2,019","7","2002",,"SEPARATED BIKEWAY","0","NO","NO","NO","NO","NO","YES","LINESTRING (-122.400804277 37.771137788, -122.400022816 37.770515108)","3"
"1529","2754000","BATTERY ST","CALIFORNIA ST","HALLECK ST","CLASS IV","1W",,"SAFE-HIT POSTS",,"S","0","0","0","Battery St","0.03385481","11",,"2,023","1","2010",,"SEPARATED BIKEWAY","0","NO","NO","NO","NO","NO","NO","LINESTRING (-122.399958736 37.793209102, -122.40005826 37.793693588)","3"
"933","8755101","MARKET ST","VAN NESS AV","12TH ST","CLASS IV","2W","GREEN PAINT","SAFE-HIT POSTS",,"E","1","0","0","Market St","0.07710659","2",,"2,017","4","2005",,"SEPARATED BIKEWAY","0","NO","NO","NO","NO","NO","YES","LINESTRING (-122.419255606 37.775147074, -122.420254279 37.774358675)","3"
"10562","19985000","4TH ST","MISSION BAY BLVD","MISSION BAY BLVD","CLASS IV","2W",,"SAFE-HIT POSTS",,"N","0",,,"4th St","0.031347",,,"2,021","11","2011",,"SEPARATED BIKEWAY","0","NO","NO","NO","NO","NO","NO","LINESTRING (-122.391199349 37.771009192, -122.391156018 37.770555976)","0"
"11201","3419000","BUSH ST","BATTERY ST","MARKET ST","CLASS IV","1W",,"SAFE-HIT POSTS",,"N","0","0","0","Battery St","0.03271847","11","1",,,"2023",,"SEPARATED BIKEWAY","0","NO","NO","YES","NO","NO","NO","LINESTRING (-122.399148599 37.791016649, -122.399494165 37.791324916, -122.39957203 37.791326533)","3"
"65","10554000","POLK ST","TURK ST","EDDY ST","CLASS IV","2W","GREEN PAINT; GREEN-BACKED SHARROWS","SAFE-HIT POSTS",,"N","0","0","0","Polk St","0.06510905","25",,"2,019","5","2006",,"SEPARATED BIKEWAY","1","NO","NO","NO","NO","NO","YES","LINESTRING (-122.418993273 37.782169271, -122.419181704 37.7831014)","3"
"950","11439102","SAN JOSE AVE","SAINT MARYS AV","MILTON ST","CLASS IV","2W","GREEN-BACKED SHARROWS","SAFE-HIT POSTS",,"E","0","0","0","San Jose Ave","0.07553181","5",,"2,014",,"2010",,"SEPARATED BIKEWAY","1","NO","NO","NO","NO","NO","YES","LINESTRING (-122.428436981 37.734950949, -122.429566945 37.734323179)","3"
"1111","13068000","VALENCIA ST","LIBERTY ST","21ST ST","CLASS IV","2W","GREEN PAINT","PARKING; SAFE-HIT POSTS","CR implemented 8/2023; SR implemented 5/2025","S","1","0","0","Valencia St","0.05529129","45",,"2,025","5","2002",,"SEPARATED BIKEWAY","0","NO","NO","NO","YES","NO","NO","LINESTRING (-122.421193865 37.757701417, -122.42111754 37.75690201)","3"
"1405","2805000","BAYSHORE BLVD","SILVER AV","THORNTON AV","CLASS IV","2W",,"SAFE-HIT POSTS",,"S","0","0","0","Bayshore Blvd","0.17235546","25",,"0",,"2014",,"SEPARATED BIKEWAY","0","NO","NO","NO","NO","NO","YES","LINESTRING (-122.404657097 37.732948782, -122.403961731 37.731610334, -122.403400462 37.730658352)","3"
"7685","12552101","THE EMBARCADERO","HOWARD ST","MISSION ST","CLASS IV","2W","GREEN PAINT","SAFE-HIT POSTS",,"S","0",,,"The Embarcadero","0.1196433",,,"2,020","8","2001",,"SEPARATED BIKEWAY","0","NO","NO","NO","NO","NO","NO","LINESTRING (-122.391086535 37.792445, -122.39249933 37.793768814)","3"
"7690","2864000","BEALE ST","MISSION ST","HOWARD ST","CLASS IV","1W",,"PARKING; SAFE-HIT POSTS",,"N","0",,,"Beale St","0.11930897",,"12",,,"2020",,"SEPARATED BIKEWAY","0","NO","NO","YES","NO","NO","NO","LINESTRING (-122.395813422 37.791152808, -122.394276228 37.789926231)","3"
"4598","183000","3RD ST","CHANNEL ST","TERRY FRANCOIS ST","CLASS IV","2W",,"SAFE-HIT POSTS",,"N","0","0","0","3rd St","0.03173357","5",,"2,020","7","2010",,"SEPARATED BIKEWAY","1","NO","NO","NO","NO","NO","NO","LINESTRING (-122.390214567 37.776723442, -122.390048511 37.776499855, -122.39002504 37.776300145)","3"
"4018","4844000","DIVISION ST","9TH ST","UTAH ST","CLASS IV","2W","GREEN PAINT","PARKING",,"E","0","0","0","Division St","0.03899667","36",,"2,016","12","2010",,"SEPARATED BIKEWAY","0","NO","NO","NO","NO","NO","NO","LINESTRING (-122.406213363 37.769462546, -122.40639775 37.769370987, -122.406724693 37.769306937, -122.4068824 37.769298558)","3"
"2537","301000","5TH ST","CLARA ST","HARRISON ST","CLASS IV","2W","GREEN-BACKED SHARROWS","SAFE-HIT POSTS",,"S","1","0","0","5th St","0.04148162","61",,"2,020","3","2009",,"SEPARATED BIKEWAY","1","NO","NO","NO","NO","NO","YES","LINESTRING (-122.402377492 37.779458716, -122.401843274 37.779032133)","3"
"1019","2753000","BATTERY ST","PINE ST","CALIFORNIA ST","CLASS IV","1W",,"SAFE-HIT POSTS",,"S","0","0","0","Battery St","0.0664645","11",,"2,023","1","2010",,"SEPARATED BIKEWAY","0","NO","NO","NO","NO","NO","NO","LINESTRING (-122.399763353 37.792257948, -122.399958736 37.793209102)","3"
"838","377000","7TH ST","TOWNSEND ST","KING ST","CLASS IV","2W",,"SAFE-HIT POSTS",,"S","1","0","0","7th St","0.06612726","23",,"2,019","7","2006",,"SEPARATED BIKEWAY","0","NO","NO","NO","NO","NO","YES","LINESTRING (-122.401656681 37.771817126, -122.400804277 37.771137788)","3"
"2879","779000","17TH ST","DE HARO ST","CAROLINA ST","CLASS IV","2W",,"SAFE-HIT POSTS",,"E","0","2,017","3","17th St","0.05302406","0","3","2,024","6","2017",,"SEPARATED BIKEWAY","0","NO","NO","NO","NO","NO","NO","LINESTRING (-122.40063332 37.764897507, -122.401598999 37.764839237)","3"
"1172","411000","8TH ST","CLEMENTINA ST","FOLSOM ST","CLASS IV","1W","GREEN PAINT","PARKING; SAFE-HIT POSTS",,"S","0","2,017","4","8th St","0.04250103","30",,"2,017","5","1999",,"SEPARATED BIKEWAY","0","NO","NO","NO","NO","NO","YES","LINESTRING (-122.410610729 37.775428353, -122.410062771 37.774991793)","3"
"3960","289000","5TH ST","MARKET ST","STEVENSON ST","CLASS IV","2W",,"SAFE-HIT POSTS",,"S","1","0","0","5th St","0.04515165","61",,"2,020","3","2009",,"SEPARATED BIKEWAY","0","NO","NO","NO","NO","NO","YES","LINESTRING (-122.408066546 37.783991487, -122.407482812 37.783528918)","3"
"8010","5652000","FOLSOM ST","MAIN ST","BEALE ST","CLASS IV","2W","GREEN PAINT","PARKING; SAFE-HIT POSTS",,"W","0","0","0","Folsom St","0.06674883","30",,"2,020","12","2003",,"SEPARATED BIKEWAY","0","NO","NO","NO","NO","NO","NO","LINESTRING (-122.391858291 37.789369268, -122.392722834 37.788686662)","3"
"134","12665000","TOWNSEND ST","6TH ST","7TH ST","CLASS IV","2W","GREEN PAINT","PARKING; SAFE-HIT POSTS",,"W","0","0","0","Townsend St","0.17172707","23",,"2,018","12","2010",,"SEPARATED BIKEWAY","0","NO","NO","NO","NO","NO","YES","LINESTRING (-122.399433131 37.773573456, -122.401656681 37.771817126)","3"
"3392","7050000","HOWARD ST","SUMNER ST","8TH ST","CLASS IV","1W","GREEN PAINT","PARKING; SAFE-HIT POSTS",,"W","0","0","0","Howard St","0.04575014","23",,"2,018","12","2006",,"SEPARATED BIKEWAY","0","NO","NO","NO","NO","NO","N/A","LINESTRING (-122.411014418 37.776689833, -122.411606113 37.776221356)","3"
"118","8762101","MARKET ST","DUBOCE AV","DOLORES ST","CLASS IV","2W","GREEN PAINT","SAFE-HIT POSTS",,"E","1","0","0","Market St","0.04970996","45",,"2,019","5","2000",,"SEPARATED BIKEWAY","0","NO","NO","NO","NO","NO","YES","LINESTRING (-122.426309438 37.769602597, -122.426928646 37.769075429)","3"
"116","13054000","VALENCIA ST","DUBOCE AV","CLINTON PARK","CLASS IV","2W","GREEN PAINT","SAFE-HIT POSTS",,"N","1","0","0","Valencia St","0.04080921","40",,"2,019","8","2000",,"SEPARATED BIKEWAY","0","NO","NO","NO","NO","NO","YES","LINESTRING (-122.422364819 37.769867698, -122.422308302 37.769277686)","3"
"1379","13062000","VALENCIA ST","CLARION AL","SYCAMORE ST","CLASS IV","2W","GREEN PAINT","PARKING; SAFE-HIT POSTS","CR implemented 8/2023; SR implemented 5/2025","N","0","0","0","Valencia St","0.02337715","45",,"2,025","5","1999",,"SEPARATED BIKEWAY","0","NO","NO","NO","YES","NO","N/A","LINESTRING (-122.421694847 37.762916815, -122.421662477 37.762578832)","3"
"159","7198000","INDIANA ST","23RD ST","25TH ST","CLASS IV","2W","GREEN PAINT","SAFE-HIT POSTS",,"N","0","0","0","Indiana St","0.17728525","7",,"2,019",,"2010",,"SEPARATED BIKEWAY","1","NO","NO","NO","NO","NO","YES","LINESTRING (-122.390921943 37.755213903, -122.390771079 37.753604363, -122.39068451 37.753450285, -122.390664067 37.753126328, -122.390682856 37.752663074)","3"
"136","13057002","VALENCIA ST","ROSA PARKS LN","15TH ST","CLASS IV","2W","GREEN PAINT","PARKING; SAFE-HIT POSTS",,"N","0","0","0","Valencia St","0.06456152","45",,"2,019","5","1999",,"SEPARATED BIKEWAY","0","NO","NO","NO","NO","NO","YES","LINESTRING (-122.422134435 37.767472922, -122.422043812 37.766539577)","3"
"3344","7505000","JERROLD AVE","JERROLD AVE","BAY SHORE BLVD","CLASS IV","2W","GREEN PAINT","SAFE-HIT POSTS",,"N","0",,,"Jerrold Ave","0.0456156","25",,"2,018","6","2005",,"SEPARATED BIKEWAY","0","NO","NO","NO","NO","NO","NO","LINESTRING (-122.403247988 37.747156198, -122.403265895 37.74728953, -122.40356101 37.747761921)","3"
"1850","5451000","FELL ST","DIVISADERO ST","BRODERICK ST","CLASS IV","1W","GREEN PAINT","CONCRETE; SAFE-HIT POSTS",,"W","0","0","0","Fell St","0.09240509","30",,"2,017","1","2003",,"SEPARATED BIKEWAY","1","NO","NO","NO","NO","NO","YES","LINESTRING (-122.437610624 37.774061647, -122.439276798 37.77384712)","3"
"3807","5676000","FOLSOM ST","RAUSCH ST","RODGERS ST","CLASS IV","1W","GREEN PAINT","PARKING; SAFE-HIT POSTS",,"E","0","2,014","0","Folsom St","0.04130081","30",,"2,018","1","2005",,"SEPARATED BIKEWAY","0","NO","NO","NO","NO","NO","YES","LINESTRING (-122.408946745 37.775873445, -122.409481488 37.775451005)","3"
"2567","302000","5TH ST","HARRISON ST","PERRY ST","CLASS IV","2W",,"SAFE-HIT POSTS",,"N","0","0","0","5th St","0.04122806","61",,"2,020","3","2009",,"SEPARATED BIKEWAY","0","NO","NO","NO","NO","NO","YES","LINESTRING (-122.401843274 37.779032133, -122.401312102 37.778608333)","3"
"5126","5336000","EVANS AVE","QUINT ST","RANKIN ST","CLASS IV","2W",,"SAFE-HIT POSTS",,"E","1",,,"Evans Ave","0.12493469","68",,"2,022","10","2006",,"SEPARATED BIKEWAY","0","NO","NO","NO","NO","NO","NO","LINESTRING (-122.390327941 37.744045929, -122.39218234 37.745100998)","3"
"4302","2477000","CESAR CHAVEZ ST","EVANS AV","KANSAS ST","CLASS IV","2W","GREEN PAINT","SAFE-HIT POSTS",,"E","1","0","0","Cesar Chavez St","0.26230783","55",,"0",,"2012",,"SEPARATED BIKEWAY","0","NO","NO","NO","NO","NO","YES","LINESTRING (-122.397285416 37.749684623, -122.402061635 37.749396679)","3"
"4514","773000","17TH ST","TEXAS ST","MISSISSIPPI ST","CLASS IV","2W","GREEN PAINT","SAFE-HIT POSTS",,"E","0","2,017","3","17th St","0.05370108","0","3","2,024","6","2017",,"SEPARATED BIKEWAY","0","NO","NO","NO","NO","NO","NO","LINESTRING (-122.39482876 37.7652476, -122.395806778 37.765188633)","3"
"14096","184002","03RD ST","TONI STONE XING","03RD ST","CLASS IV","2W","GREEN PAINT","CONCRETE",,"N",,,,,"0.06577659",,"3",,,"2024",,"SEPARATED BIKEWAY","0","NO","YES","NO","NO","NO","NO","LINESTRING (-122.39002504 37.776300145, -122.389937999 37.775348914)","3"
"1065","782000","17TH ST","KANSAS ST","VERMONT ST","CLASS IV","2W",,"SAFE-HIT POSTS",,"W","0","0","0","17th St","0.0532584","40",,"2,018","5","2011",,"SEPARATED BIKEWAY","0","NO","NO","NO","NO","NO","YES","LINESTRING (-122.403527035 37.764722871, -122.404496977 37.764664317)","3"
"11215","2762000","BATTERY ST","PACFIC AVE","BROADWAY","CLASS IV","1W",,"SAFE-HIT POSTS",,"N",,,,"Battery St","0.06468249",,"1",,,"2023",,"SEPARATED BIKEWAY","0","NO","NO","YES","NO","NO","NO","LINESTRING (-122.400876382 37.79765914, -122.401064499 37.798585054)","3"
"69","10567000","POLK ST","BUSH ST","FRANK NORRIS ST","CLASS IV","2W","GREEN PAINT","SAFE-HIT POSTS",,"N","0","0","0","Polk St","0.03255465","25",,"2,019","5","2004",,"SEPARATED BIKEWAY","0","NO","NO","NO","NO","NO","YES","LINESTRING (-122.420306883 37.788699046, -122.420401246 37.789165094)","3"
"3107","300003","5TH ST","SCOTT ALY","CLARA ST","CLASS IV","2W",,"SAFE-HIT POSTS",,"S","0","0","0","5th St","0.01100071","61",,"2,020","3","2009",,"SEPARATED BIKEWAY","0","NO","NO","NO","NO","NO","YES","LINESTRING (-122.402519165 37.779571843, -122.402377492 37.779458716)","3"
"3740","298000","5TH ST","CLEMENTINA ST","FOLSOM ST","CLASS IV","2W","GREEN-BACKED SHARROWS","SAFE-HIT POSTS",,"N","0","0","0","5th St","0.04182864","61",,"2,020","3","2009",,"SEPARATED BIKEWAY","1","NO","NO","NO","NO","NO","YES","LINESTRING (-122.403920882 37.78069905, -122.403387209 37.780264972)","3"
"4993","10660000","POTRERO AVE","15TH ST","16TH ST","CLASS IV","2W","GREEN PAINT","CONCRETE","Transit Boarding Island","N","1","0","0","Potrero Ave","0.08994683","25",,"2,017","9","2011",,"SEPARATED BIKEWAY","0","NO","NO","NO","NO","NO","NO","LINESTRING (-122.407534229 37.765783299, -122.407685034 37.767081982)","3"
"63","10555000","POLK ST","EDDY ST","WILLOW ST","CLASS IV","2W","GREEN PAINT","SAFE-HIT POSTS",,"N","0","0","0","Polk St","0.03255507","25",,"2,019","5","2000",,"SEPARATED BIKEWAY","0","NO","NO","NO","NO","NO","YES","LINESTRING (-122.419181704 37.7831014, -122.419273432 37.783567785)","3"
"4690","4844000","DIVISION ST","9TH ST","UTAH ST","CLASS IV","2W","GREEN PAINT","PARKING",,"W","1","0","0","Division St","0.03899667","36",,"2,016","12","2010",,"SEPARATED BIKEWAY","0","NO","NO","NO","NO","NO","NO","LINESTRING (-122.406213363 37.769462546, -122.40639775 37.769370987, -122.406724693 37.769306937, -122.4068824 37.769298558)","3"
"204","12551102","THE EMBARCADERO","FOLSOM ST","HOWARD ST","CLASS IV","2W",,"CONCRETE",,"N","1","0","0","The Embarcadero","0.12776857","5",,"2,020","11","2000",,"SEPARATED BIKEWAY","0","NO","NO","NO","NO","NO","NO","LINESTRING (-122.390013178 37.790826904, -122.390355402 37.791115567, -122.39070889 37.791601537, -122.391086535 37.792445)","3"
"12495","8054101","LAKE MERCED BLVD","UNNAMED #129","JOHN MUIR DR","CLASS IV","2W",,"CONCRETE; SAFE-HIT POSTS",,"N","1","0","0","Lake Merced Blvd","0.08836313","885","1","2,026","1","2025",,"SEPARATED BIKEWAY","0","NO","NO","NO","NO","NO","NO","LINESTRING (-122.485136377 37.709238075, -122.485149072 37.708833704, -122.48535948 37.708582319, -122.485510692 37.708382964, -122.485723865 37.70808573)","3"
"4311","2476000","CESAR CHAVEZ ST","CONNECTICUT ST","EVANS AV","CLASS IV","2W","GREEN PAINT","SAFE-HIT POSTS",,"W","0","0","0","Cesar Chavez St","0.0555713","60",,"0",,"2012",,"SEPARATED BIKEWAY","0","NO","NO","NO","NO","NO","YES","LINESTRING (-122.396273544 37.7497456, -122.397285416 37.749684623)","3"
"4985","2802101","BAYSHORE BLVD","INDUSTRIAL ST","HELENA ST","CLASS IV","2W",,"SAFE-HIT POSTS",,"S","0","0","0","Bayshore Blvd","0.11485607","25",,"0",,"2012",,"SEPARATED BIKEWAY","0","NO","NO","NO","NO","NO","YES","LINESTRING (-122.406910504 37.737965867, -122.406703836 37.736308604)","3"
"4887","2158201","ALEMANY BLVD","ROUSSEAU ST","CONGDON ST","CLASS IV","2W",,"SAFE-HIT POSTS",,"E","0","0","0","Alemany Blvd","0.19254125","45",,"0",,"2011",,"SEPARATED BIKEWAY","0","NO","NO","NO","NO","NO","N/A","LINESTRING (-122.429570698 37.731039888, -122.428372053 37.731386259, -122.428163628 37.731417366, -122.427974096 37.731408598, -122.427524496 37.731360562, -122.426161767 37.731168532)","3"
"2542","776000","17TH ST","ARKANSAS ST","CONNECTICUT ST","CLASS IV","2W",,"SAFE-HIT POSTS",,"W","1","2,017","3","17th St","0.05304051","0","3","2,024","6","2017",,"SEPARATED BIKEWAY","0","NO","NO","NO","NO","NO","NO","LINESTRING (-122.397737383 37.765072208, -122.398703366 37.765013942)","3"
"726","8753201","MARKET ST","LARKIN ST","POLK ST","CLASS IV","2W","GREEN PAINT","SAFE-HIT POSTS",,,"1","0","0","Market St","0.09330127","50",,"2,011","5","2002",,"SEPARATED BIKEWAY","0","NO","NO","NO","NO","NO","N/A","LINESTRING (-122.416291702 37.777493842, -122.417501462 37.776540894)","3"
"3503","6263000","GOLDEN GATE AVE","LARKIN ST","HYDE ST","CLASS IV","1W",,"SAFE-HIT POSTS",,"E",,"0","0","Golden Gate Ave","0.0909199","0","6","2,021","5","2016",,"SEPARATED BIKEWAY","1","NO","NO","NO","NO","NO","NO","LINESTRING (-122.415505178 37.781654261, -122.417145612 37.781447495)","0"
"1933","300001","5TH ST","SHIPLEY ST","JENNIFER PL","CLASS IV","2W",,"SAFE-HIT POSTS",,"N","1","0","0","5th St","0.01060504","61",,"2,020","3","2009",,"SEPARATED BIKEWAY","0","NO","NO","NO","NO","NO","YES","LINESTRING (-122.402840617 37.779828524, -122.402704039 37.779719466)","3"
"4381","2804000","BAYSHORE BLVD","AUGUSTA ST","SILVER AV","CLASS IV","2W","GREEN PAINT","SAFE-HIT POSTS",,"S","1","0","0","Bayshore Blvd","0.10314806","905",,"0",,"2012",,"SEPARATED BIKEWAY","0","NO","NO","NO","NO","NO","YES","LINESTRING (-122.405494571 37.734287051, -122.405096043 37.733716127, -122.404657097 37.732948782)","3"
"2130","13068000","VALENCIA ST","LIBERTY ST","21ST ST","CLASS IV","2W","GREEN PAINT","PARKING; SAFE-HIT POSTS","CR implemented 8/2023; SR implemented 5/2025","N","0","0","0","Valencia St","0.05529129","45",,"2,025","5","2002",,"SEPARATED BIKEWAY","0","NO","NO","NO","YES","NO","NO","LINESTRING (-122.421193865 37.757701417, -122.42111754 37.75690201)","3"
"11214","2763000","BATTERY ST","BROADWAY","VALLEJO ST","CLASS IV","1W",,"SAFE-HIT POSTS",,"N",,,,"Battery St","0.06642497",,"1",,,"2023",,"SEPARATED BIKEWAY","0","NO","NO","YES","NO","NO","NO","LINESTRING (-122.401064499 37.798585054, -122.401253448 37.799536447)","3"
"11203","2753000","BATTERY ST","PINE ST","CALIFORNIA ST","CLASS IV","1W",,"SAFE-HIT POSTS",,"N","0","0","0","Battery St","0.0664645","11",,"2,023","1","2010",,"SEPARATED BIKEWAY","0","NO","NO","YES","NO","NO","NO","LINESTRING (-122.399763353 37.792257948, -122.399958736 37.793209102)","3"
"106","13053000","VALENCIA ST","MC COPPIN ST","DUBOCE AV","CLASS IV","2W","GREEN PAINT; GREEN-BACKED SHARROWS","PARKING; SAFE-HIT POSTS",,"N","0","0","0","Valencia St","0.11946283","40",,"2,019","5","2003",,"SEPARATED BIKEWAY","1","NO","NO","NO","NO","NO","YES","LINESTRING (-122.422526343 37.771595103, -122.422364819 37.769867698)","3"
"4363","4843000","DIVISION ST","SAN BRUNO AV","9TH ST","CLASS IV","2W","GREEN PAINT","PARKING",,"W","1","0","0","Division St","0.02022069","25",,"2,016","12","2000",,"SEPARATED BIKEWAY","0","NO","NO","NO","NO","NO","NO","LINESTRING (-122.405939204 37.76965901, -122.406213363 37.769462546)","3"
"932","8757101","MARKET ST","FRANKLIN ST","ROSE ST","CLASS IV","2W","GREEN PAINT","SAFE-HIT POSTS",,"E",,,,"Market St","0.04517588","50",,"2,015","11","2000",,"SEPARATED BIKEWAY","0","NO","YES","NO","NO","NO","YES","LINESTRING (-122.420698773 37.774007806, -122.42072387 37.77392283, -122.421232156 37.77352338)","3"
"1312","9696000","NORTH POINT ST","LARKIN ST","POLK ST","CLASS IV","2W","GREEN PAINT","CONCRETE","Transit Boarding Island","E","1","0","0","North Point St","0.09134547","16",,"2,017","12","2010",,"SEPARATED BIKEWAY","0","NO","NO","NO","NO","NO","YES","LINESTRING (-122.422006821 37.805496648, -122.423655075 37.805286985)","3"
"2270","10544000","POINT LOBOS AVE","MERRIE WY","GREAT HWY","CLASS IV","2W",,"SAFE-HIT POSTS",,"N","0","0","0","Point Lobos Ave","0.30388438","95",,"0",,"2013",,"SEPARATED BIKEWAY","0","NO","NO","NO","NO","NO","YES","LINESTRING (-122.51142414 37.779409664, -122.511694997 37.779264784, -122.511846539 37.779186116, -122.512075427 37.779101959, -122.512286921 37.779054576, -122.512508337 37.779034122, -122.512660683 37.779033606, -122.512851439 37.77904494, -122.513020682 37.779037881, -122.513181793 37.779021581, -122.513360325 37.778969548, -122.513491254 37.778905821, -122.51356802 37.778830513, -122.513599201 37.778769531, -122.513616719 37.778688982, -122.513612031 37.778612981, -122.513579902 37.778493674, -122.513349772 37.778047368, -122.513283044 37.77795992, -122.513207577 37.777889295, -122.513109625 37.777812802, -122.513013408 37.777751912, -122.512912716 37.777671297, -122.512796682 37.777557592, -122.512659514 37.777391096, -122.512528107 37.777243261, -122.512426824 37.777140768, -122.512287018 37.777022257, -122.512131573 37.776908183, -122.511938326 37.77675619)","3"
"4424","5658000","FOLSOM ST","ECKER ST","ESSEX ST","CLASS IV","2W","GREEN PAINT","PARKING; SAFE-HIT POSTS",,"E","0","0","0","Folsom St","0.02927676","23",,"2,020","12","2000",,"SEPARATED BIKEWAY","0","NO","NO","NO","NO","NO","NO","LINESTRING (-122.395266295 37.786678345, -122.395645467 37.786378936)","3"
"4276","13066000","VALENCIA ST","CUNNINGHAM PL","20TH ST","CLASS IV","2W","GREEN PAINT","PARKING; SAFE-HIT POSTS","CR implemented 8/2023; SR implemented 5/2025","S","1","0","0","Valencia St","0.06044783","40",,"2,025","5","1999",,"SEPARATED BIKEWAY","0","NO","NO","NO","YES","NO","NO","LINESTRING (-122.421355417 37.759372454, -122.421271729 37.758498508)","3"
