"OBJECTID","ADDRESS","LOCATION","STREET","PLACEMENT","RACKS","SPACES","GLOBALID","INSTALL_YR","INSTALL_MO","LAT","LON","shape","data_as_of","data_loaded_at","analysis_neighborhood","supervisor_district"
"10044","2575 OCEAN AVE","World Team Kickboxing","OCEAN","SIDEWALK","2","4",,"2010","0","37.731439","-122.473324","POINT (-122.473323791 37.731439012)","2020 Jan 29 12:38:25 PM","2024 Jun 17 10:17:16 AM","West of Twin Peaks","7"
"21152","4106 24th St","AP's Café","6th Street","SIDEWALK","1","2",,"2022","11",,,"POINT (-122.434299533 37.751343331)","2023 Nov 13 03:31:03 PM","2024 Jun 17 10:17:16 AM","Noe Valley","8"
"21402","4828 Mission street",,"Mission street","SIDEWALK","2","4",,"2023","10",,,"POINT (-122.437995964 37.720616101)","2023 Nov 13 03:39:45 PM","2024 Jun 17 10:17:16 AM","Outer Mission","11"
"14250","2198 California",,"California","SIDEWALK","2","4",,"2021","7",,,"POINT (-122.430388074 37.789353557)","2021 Dec 29 04:46:38 PM","2024 Jun 17 10:17:16 AM","Pacific Heights","2"
"21192","1999 Scott Street",,"Scott Street","SIDEWALK","4","8",,"2023","2",,,"POINT (-122.438820308 37.788224449)","2023 Nov 13 03:39:45 PM","2024 Jun 17 10:17:16 AM","Pacific Heights","2"
"13906","150 Haight Street",,"Haight Street","SIDEWALK","2","4",,"2020","11",,,"POINT (-122.424651178 37.772852168)","2020 Dec 31 12:13:42 PM","2024 Jun 17 10:17:16 AM","Hayes Valley","5"
"14445","3622 Rivera",,"Rivera","SIDEWALK","1","2",,"2021","10",,,"POINT (-122.505186191 37.745498822)","2021 Dec 29 04:46:38 PM","2024 Jun 17 10:17:16 AM","Sunset/Parkside","4"
"21785","5129 Geary","Golden State Tennis","Geary","SIDEWALK","1","2",,"2024","2",,,"POINT (-122.474514033 37.780263018)","2024 Jan 05 02:18:59 PM","2024 Jun 17 10:17:16 AM","Outer Richmond","1"
"11793","520 SCOTT ST","UNKNOWN","SCOTT","SIDEWALK","1","2",,"2005","0","37.77462","-122.435702","POINT (-122.435701792 37.774620005)","2020 Jan 29 12:38:25 PM","2024 Jun 17 10:17:16 AM","Hayes Valley","5"
"11942","560 03RD ST","UNKNOWN","03RD","SIDEWALK","1","2",,"2002","0","37.780406","-122.395082","POINT (-122.395081797 37.780406001)","2020 Jan 29 12:38:25 PM","2024 Jun 17 10:17:16 AM","South of Market","6"
"13863","824 Harrison St","Bessie Carmichael Middle School","Harrison St","SIDEWALK","2","4",,"2020","10",,,"POINT (-122.400282589 37.780276702)","2020 Dec 31 12:11:27 PM","2024 Jun 17 10:17:16 AM","South of Market","6"
"10752","2751 MISSION ST","Artillery Apparel Gallery","MISSION","SIDEWALK","1","2",,"2011","3","37.753058","-122.418151","POINT (-122.418150796 37.753058005)","2020 Jan 29 12:38:25 PM","2024 Jun 17 10:17:16 AM","Mission","9"
"8785","1401 Mission Street","Nail Bar","Mission Street","SIDEWALK","1","2",,"2018","6","0","0","POINT (-122.41595318 37.775045419)","2020 Jan 29 12:38:25 PM","2024 Jun 17 10:17:16 AM","South of Market","6"
"10291","603 HAIGHT ST","Vickie's Boutique","HAIGHT","SIDEWALK","1","2",,"0","0","37.771641","-122.432203","POINT (-122.432202792 37.771641474)","2020 Jan 29 12:38:25 PM","2024 Jun 17 10:17:16 AM","Haight Ashbury","5"
"13481","4435 Pacheco",,"Pacheco","SIDEWALK","2","4",,"2020","2",,,"POINT (-122.507666007 37.748887696)","2020 Jun 19 01:18:28 PM","2024 Jun 17 10:17:16 AM","Sunset/Parkside","4"
"10425","985 VALENCIA ST","UNKNOWN","VALENCIA","SIDEWALK","1","2",,"2003","0","37.757219","-122.420837","POINT (-122.420836795 37.757219005)","2020 Jan 29 12:38:25 PM","2024 Jun 17 10:17:16 AM","Mission","9"
"12508","491 Bayshore Blvd","Lowe's","Bayshore Blvd","SIDEWALK","4","8",,"2019","12","37.73953741","-122.40695316","POINT (-122.406953155 37.739537412)","2020 Jan 31 02:21:38 PM","2024 Jun 17 10:17:16 AM","Bayview Hunters Point","10"
"21210","801 Brannan Street",,"Brannan Street","SIDEWALK","2","4",,"2023","2",,,"POINT (-122.403211076 37.772968989)","2023 Nov 13 03:39:45 PM","2024 Jun 17 10:17:16 AM","South of Market","6"
"12440","475 VALENCIA ST","San Francisco School of Massage","VALENCIA","SIDEWALK","1","2",,"2015","1","37.76535","-122.42173","POINT (-122.421730194 37.765349905)","2020 Jan 29 12:38:25 PM","2024 Jun 17 10:17:16 AM","Mission","9"
"10714","3950 SACRAMENTO ST","Claire Lillienth","SACRAMENTO","SIDEWALK","1","2",,"2002","0","37.787214","-122.458064","POINT (-122.458063786 37.787214005)","2020 Jan 29 12:38:25 PM","2024 Jun 17 10:17:16 AM","Presidio Heights","2"
"9187","685 MARKET ST","Yocup Yogurt","MARKET","SIDEWALK","1","2",,"2010","11","37.787641","-122.402746","POINT (-122.402745794 37.787641002)","2020 Jan 29 12:38:25 PM","2024 Jun 17 10:17:16 AM","Financial District/South Beach","6"
"13960","88 5th Street",,,"SIDEWALK","2","4",,"2020","9",,,"POINT (-122.406846818 37.783011918)","2020 Dec 31 12:19:06 PM","2024 Jun 17 10:17:16 AM","South of Market","6"
"10568","545 CASTRO ST","Best in Show","CASTRO","SIDEWALK","1","2",,"2006","0","37.760176","-122.43456","POINT (-122.434559794 37.760176006)","2020 Jan 29 12:38:25 PM","2024 Jun 17 10:17:16 AM","Castro/Upper Market","8"
"11059","668 CLAY ST","Balmoral Hotel North #2","CLAY","SIDEWALK","1","2",,"0","0","37.794736","-122.404256","POINT (-122.404255794 37.794736)","2020 Jan 29 12:38:25 PM","2024 Jun 17 10:17:16 AM","Chinatown","3"
"12099","1723 POLK ST","The Cinch bar","POLK","SIDEWALK","1","2",,"2010","12","37.792729","-122.421447","POINT (-122.421446792 37.792729002)","2020 Jan 29 12:38:25 PM","2024 Jun 17 10:17:16 AM","Russian Hill","3"
"10888","3801 SACRAMENTO ST","UNKNOWN","SACRAMENTO","SIDEWALK","1","2",,"2004","0","37.786824","-122.455435","POINT (-122.455434787 37.786824005)","2020 Jan 29 12:38:25 PM","2024 Jun 17 10:17:16 AM","Presidio Heights","2"
"11108","1675 OWENS ST","UCSF Mission Bay William J. Rutter Community Center","OWENS","PARCEL","6","6",,"2005","0","37.768095","-122.393127","POINT (-122.393126799 37.768095002)","2020 Jan 29 12:38:25 PM","2024 Jun 17 10:17:16 AM","Mission Bay","6"
"8841","968 Valencia Street","Benny Gold","Valencia Street","SIDEWALK","1","1",,"2017","9","0","0","POINT (-122.421459582 37.757498821)","2020 Jan 29 12:38:25 PM","2024 Jun 17 10:17:16 AM","Mission","9"
"12777","1833 Page St",,"Page St","SIDEWALK","1","2",,"2019","12","37.77043657","-122.45100108","POINT (-122.451001081 37.770436566)","2020 Jan 31 02:21:37 PM","2024 Jun 17 10:17:16 AM","Haight Ashbury","5"
"12401","130 Clement","The Spanish Table","CLEMENT","SIDEWALK","1","2",,"2016","11","37.783189","-122.460482","POINT (-122.460482271 37.783189448)","2020 Jan 29 12:38:25 PM","2024 Jun 17 10:17:16 AM","Inner Richmond","1"
"12250","300 Grove Street","Jardiniere","GROVE","SIDEWALK","2","4",,"2017","4","37.778082","-122.421583","POINT (-122.421583494 37.778082418)","2020 Jan 29 12:38:25 PM","2024 Jun 17 10:17:16 AM","Hayes Valley","5"
"21478","3265 22nd Street","CCSF Mission Campus","22nd Street","SIDEWALK","1","2",,"2024","4",,,"POINT (-122.420327963 37.755191991)","2024 Jan 26 11:52:54 AM","2024 Jun 17 10:17:16 AM","Mission","9"
"9847","550 GENE FRIEND WAY","UCSF Mission Bay South Street Retail & Bench Area","GENE FRIEND","PARCEL","1","7",,"2005","0","37.768765","-122.390437","POINT (-122.390436798 37.768765002)","2020 Jan 29 12:38:25 PM","2024 Jun 17 10:17:16 AM","Mission Bay","6"
"21498","3420 26th Street",,"26th Street","SIDEWALK","1","2",,"2024","4",,,"POINT (-122.419109988 37.749177012)","2024 Jan 26 11:52:54 AM","2024 Jun 17 10:17:16 AM","Mission","9"
"11410","2800 03rd Street","Wingz","03RD","SIDEWALK","2","4",,"2017","2","37.75411","-122.387978","POINT (-122.387978242 37.754109587)","2020 Jan 29 12:38:25 PM","2024 Jun 17 10:17:16 AM","Potrero Hill","10"
"12576","4645 Mission Street","Walgreens (and/or Goodwill, next door)","Mission Street","SIDEWALK","2","4",,"2019","12","37.72407921","-122.43524409","POINT (-122.435244088 37.724079209)","2020 Jan 31 02:21:38 PM","2024 Jun 17 10:17:16 AM","Excelsior","11"
"21336","917 Folsom St","Izakaya Hon","Folsom St","SIDEWALK","1","2",,"2023","10",,,"POINT (-122.403399737 37.780188989)","2023 Nov 13 03:39:45 PM","2024 Jun 17 10:17:16 AM","South of Market","6"
